Entry,Nominator,BP,germplasmName,HT,Grain_type,Gen_type
1,LSU,LSU,AddiJo,CONV,Long,Line
2,LSU,LSU,RU2102186,PV,Long,Line
3,LSU,LSU,RU2102037,CONV,Long,Line
4,LSU,LSU,RU2102222,CL,Long,Line
5,LSU,LSU,RU2102217,CL,Long,Line
6,AR,AR,Ozark,CONV,Long,Line
7,AR,AR,RU1801101,CL,Long,Line
8,AR,AR,RU2101177,CL,Long,Line
9,AR,AR,RU2101234,CL,Medium,Line
10,AR,AR,Taurus,CONV,Medium,Line
11,Nutrien,Nutrien,DGL2065,CONV,Long,Line
12,Nutrien,Nutrien,DGM004,CONV,Medium,Line
13,Nutrien,Nutrien,DG3H20004,CONV,Long,Hybrid
14,Nutrien,Nutrien,DG3H20363,CONV,Long,Hybrid
15,Nutrien,Nutrien,DG3H20408,CONV,Long,Hybrid
16,Horizon,AR,CLL18,CL,Long,Line
17,Horizon,LSU,RU1902026,CL,Long,Line
18,Horizon,LSU,RU2102150,CL,Long,Line
19,Horizon,AR,RU2201021,PV,Long,Line
20,Horizon,MS,RU2004071,CL,Long,Line
21,Check,AR,CLL16,CL,Long,Line
22,Check,LSU,PVL03,PV,Long,Line
23,Check,RT,XP753,CONV,Long,Hybrid
24,Check,LSU,Jupiter,CONV,Medium,Line
25,Check,Nutrien,DG263L,CONV,Long,Line